,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
1,tCbdrRPZA0oiIYSmHG3J0w,Flying Elephants at PDX,7000 NE Airport Way,Portland,OR,97218,45.5889058992,-122.5933307507,4.0,126,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'BikeParking': 'False', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Caters': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'beer_and_wine'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}""}","Salad, Soup, Sandwiches, Delis, Restaurants, Cafes, Vegetarian","{'Monday': '5:0-18:0', 'Tuesday': '5:0-17:0', 'Wednesday': '5:0-18:0', 'Thursday': '5:0-18:0', 'Friday': '5:0-18:0', 'Saturday': '5:0-18:0', 'Sunday': '5:0-18:0'}"
104,aTAe3uMYBEwU0FbTMFEI5g,Urban Pantry,1128 NW Lovejoy St,Portland,OR,97209,45.5299395,-122.6829322,3.5,26,1,"{'HasTV': 'False', 'NoiseLevel': ""u'quiet'"", 'ByAppointmentOnly': 'False', 'OutdoorSeating': 'True', 'Caters': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'WheelchairAccessible': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'""}","Do-It-Yourself Food, Restaurants, American (Traditional), Active Life, Grocery, Food, Local Flavor, Specialty Food, Kids Activities, Cafes, Delis","{'Monday': '0:0-0:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}"
238,qxnHt71f5BHVmzWKDTRCyA,Artisan Park Club,1343 Celebration Ave,Kissimmee,FL,34747,28.2992975165,-81.554198355,3.5,9,1,"{'RestaurantsTakeOut': 'True', 'Caters': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""u'full_bar'"", 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'BikeParking': 'True', 'RestaurantsAttire': ""u'dressy'"", 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': None}"", 'GoodForKids': 'True', 'WiFi': ""u'free'""}","Event Planning & Services, Cafes, Restaurants, American (Traditional), Venues & Event Spaces","{'Tuesday': '12:0-15:0', 'Wednesday': '17:0-19:30', 'Thursday': '17:0-19:30', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '10:0-20:0'}"
252,GyglPdfJM89if_5XSBIN7Q,Never Coffee,537 SW 12th Ave,Portland,OR,97205,45.5214333486,-122.683917135,4.0,49,1,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsTableService': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': False, 'lot': None, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'WiFi': ""u'free'"", 'Alcohol': ""u'none'"", 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'OutdoorSeating': 'True', 'BikeParking': 'True'}","Restaurants, Cafes, Food, Coffee & Tea","{'Monday': '8:0-14:0', 'Friday': '8:0-14:0', 'Saturday': '8:0-14:0', 'Sunday': '8:0-14:0'}"
256,r-hWf-bd9im5rj_l2MeofQ,Take Five Café,102-609 Granville Street,Vancouver,BC,V7Y 1H4,49.283532,-123.117107,4.0,17,1,"{'BikeParking': 'True', 'WiFi': ""'free'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2'}","Food, Coffee & Tea, Restaurants, Cafes",
395,F0n25o5lpaFJpEW8DFS8Ww,Greater Goods Coffee Roasters,"12005 Bee Caves Rd, Ste 4B",Austin,TX,78738,30.3075574,-97.9262186,4.5,54,1,"{'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'Caters': 'False', 'HasTV': 'False', 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True'}","Coffee Roasteries, Cafes, Food, Coffee & Tea, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '6:30-14:0', 'Wednesday': '6:30-14:0', 'Thursday': '6:30-14:0', 'Friday': '6:30-14:0', 'Saturday': '6:30-14:0', 'Sunday': '6:30-14:0'}"
433,CKDU9kpeLQy56_X0urimfA,Tea Traders Cafe by Joffrey's,"1638 E Buena Vista Dr, Ste A",Lake Buena Vista,FL,32836,28.3717155355,-81.5178891589,4.0,47,1,"{'Caters': 'False', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'WheelchairAccessible': 'True'}","Restaurants, Coffee & Tea, Cafes, Food, Tea Rooms","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '10:0-23:0'}"
465,MYainrGOUR9OGC0eXqpkuA,Living Room Cafe,"3787 Canada Way, Unit 116",Burnaby,BC,V5G 4V4,49.254865,-123.020418,4.0,7,1,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","Bars, Lounges, Nightlife, Cafes, Restaurants, Hookah Bars","{'Monday': '14:0-2:0', 'Tuesday': '14:0-2:0', 'Wednesday': '14:0-2:0', 'Thursday': '14:0-2:0', 'Friday': '14:0-2:0', 'Saturday': '14:0-2:0', 'Sunday': '14:0-2:0'}"
495,SRHQEF2-VPS_dl1_ZDH0gA,Laughing Planet,4110 SE Woodstock Blvd,Portland,OR,97255,45.4789575,-122.6202643,3.5,155,1,"{'Caters': 'True', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'beer_and_wine'"", 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'BYOBCorkage': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsDelivery': 'False'}","Juice Bars & Smoothies, Cafes, Mexican, Vegetarian, Restaurants, American (New), Food, Vegan, Salad","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-20:0'}"
582,ORhpT5x2G4hewGQn7_oWmA,Biscuits Cafe,"4200 Mercantile Dr, Ste 790",Lake Oswego,OR,97035,45.4160477657,-122.7200023379,3.5,128,1,"{'HasTV': 'False', 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'WiFi': ""'free'"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False', 'Caters': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsDelivery': 'True'}","Cafes, American (Traditional), Restaurants, Breakfast & Brunch","{'Monday': '7:0-13:30', 'Tuesday': '7:0-13:30', 'Wednesday': '7:0-13:30', 'Thursday': '7:0-13:30', 'Friday': '7:0-13:30', 'Saturday': '7:0-13:30', 'Sunday': '7:0-13:30'}"
618,P-5Ze1LN_KqrWBhha-kJTA,Fresh Start Cafe and Bakery,24 N Sandusky St,Delaware,OH,43015,40.2994699,-83.0674219,4.5,40,1,"{'GoodForKids': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'HappyHour': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'False', 'BikeParking': 'False', 'Alcohol': ""'none'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}""}","Event Planning & Services, Cafes, Food, Bakeries, Caterers, Desserts, Coffee & Tea, Restaurants, Sandwiches","{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0', 'Saturday': '7:0-14:0', 'Sunday': '7:0-14:0'}"
630,iBl91YcJwdTG6zpTJaWhNA,Ole Cafe,"1800 SW 1st Ave, Ste 130",Portland,OR,97201,45.510138,-122.677199,3.0,10,1,"{'RestaurantsGoodForGroups': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'Ambience': 'None', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': 'None', 'NoiseLevel': ""u'average'"", 'Caters': 'False', 'BikeParking': 'True', 'HasTV': 'True', 'WiFi': ""u'free'""}","Cafes, Restaurants, Delis, Sandwiches",
637,GzlroXsuFyMDv8qS2VM3kw,Caffè Nero,339 Washington St,Wellesley,MA,02481,42.3103234,-71.2768182,4.0,57,1,"{'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}""}","Cafes, Coffee & Tea, Restaurants, Food","{'Monday': '5:30-21:0', 'Tuesday': '5:30-21:0', 'Wednesday': '5:30-21:0', 'Thursday': '5:30-21:0', 'Friday': '5:30-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-20:0'}"
676,ijXamJnJ1oVGKon_K-DYpA,Nespresso Boutique at Bloomingdales,225 Boylston St,Newton,MA,02467,42.3214163153,-71.1752104658,4.0,18,1,"{'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'False', 'HasTV': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Coffee & Tea Supplies, Food, Cafes, Coffee Roasteries, Coffee & Tea, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-19:0', 'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '12:0-19:0', 'Sunday': '11:0-19:0'}"
763,rIdojqgqK1IcxYAyJhsLLg,Muse 24h Caffee,14100 Bonnet Creek Resort Ln,Orlando,FL,32821,28.355841,-81.534603,4.0,5,1,"{'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HasTV': 'True', 'WiFi': ""u'free'""}","Restaurants, Cafes",
773,rqbUAI4JfxceQRBMDrxCdw,Padaria Brazil,125 Harvard Ave,Allston,MA,02134,42.3522867,-71.1321838,4.0,62,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'BikeParking': 'False', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True'}","Restaurants, Sandwiches, Custom Cakes, Cafes, Food, Bakeries","{'Monday': '6:0-19:30', 'Tuesday': '6:0-19:30', 'Wednesday': '6:0-19:30', 'Thursday': '6:0-19:30', 'Friday': '6:0-19:30', 'Saturday': '6:0-19:30', 'Sunday': '6:0-14:30'}"
788,W4S9PIWTfRlW2lwPPunFvg,f&b cafe and catering,2701 NW Vaughn St,Portland,OR,97210,45.5375748,-122.7083825,2.5,11,0,"{'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Alcohol': ""u'none'"", 'Caters': 'True', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'quiet'""}","Cafes, American (Traditional), Restaurants","{'Monday': '7:30-15:30', 'Tuesday': '7:30-15:30', 'Wednesday': '7:30-15:30', 'Thursday': '7:30-15:30', 'Friday': '7:30-15:30', 'Saturday': '9:0-15:30', 'Sunday': '11:0-15:30'}"
861,pCg4oRweZQnoXo2j7_-BqQ,Hote1e1even,1123 East 11th St,Austin,TX,78702,30.2687289671,-97.7283888839,4.5,13,1,"{'WiFi': ""'free'"", 'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Restaurants, Cafes, Nightlife, Hotels & Travel, Bars",
899,w89ay2pZDTd-3cJsRlx22Q,SquareRüt Kava Bar,5000 N Lamar Blvd,Austin,TX,78756,30.318749,-97.73152,4.0,34,1,"{'NoiseLevel': ""u'quiet'"", 'Music': ""{'dj': False}"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'CoatCheck': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'GoodForDancing': 'False', 'RestaurantsDelivery': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'HappyHour': 'True', 'RestaurantsTableService': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'Smoking': ""u'outdoor'"", 'GoodForKids': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'HasTV': 'False'}","Cafes, Restaurants, Lounges, Nightlife, Food, Coffee & Tea, Bars","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}"
1023,w3HSOOqJednBOYbO3fajvQ,Les Faux Bourgeois,663 E 15th Avenue,Vancouver,BC,V5T 2R6,49.2572813531,-123.0897673308,4.0,413,1,"{'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsTableService': 'True', 'HasTV': 'True', 'Alcohol': ""u'full_bar'"", 'WiFi': ""u'free'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': True, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}""}","Restaurants, French, Cafes","{'Monday': '17:30-0:0', 'Tuesday': '17:30-0:0', 'Wednesday': '17:30-0:0', 'Thursday': '17:30-0:0', 'Friday': '17:30-0:0', 'Saturday': '17:30-0:0', 'Sunday': '17:0-22:0'}"
