,business_id,1,2,3
0,O1LDlBOV-MuJE9l5F1ewsQ,pizza,coffee,pizza
1,WeAMq_YGgAnuayjJHi8gQg,service,juice,
2,XgwuAwl2yLDF5hv611NKLA,coffee,staff,sandwich
3,c1hTlGsx5s0bvnCqtBNrMA,service,staff,service
4,TrZP9EtqDm-0eRP1TqmaZg,chocolate,service,chocolate
5,P-5Ze1LN_KqrWBhha-kJTA,coffee,cinnamon,lunch
6,_o4eCCseSJDd4fJjG1TV8A,coffee,cafe,staff
7,0Jyt6J6K4Ety4aojc3Zldw,service,breakfast,service
8,NQp9tJxgoOuyRQGdgr3BRA,coffee,latte,barista
9,KcjoTD18BY5JUzuWvo9nFA,cake,chocolate,cake
10,3ksTKKr7wHHR_LPLBtweWQ,coffee,breakfast,
11,RIJ364rePpNbanXB4crsfg,service,price,
12,LNJIUbU6bKOYBreQGGd0Rg,service,coffee,pasta
13,xwJ_11EMs0S3Bpp1Q9tlSg,coffee,menu,
14,2OWVJAoPHQucVOWxP-FbUw,staff,line,line
15,iCx-064NYPHJ_H5WjLNJlw,breakfast,service,service
16,nfxuNwb8oTo4gyK404QAng,service,menu,salad
17,pCg4oRweZQnoXo2j7_-BqQ,room,staff,room
18,T4QPN9UU5Z1UWmo-3hsMpA,coffee,service,coffee
19,i8ZRSgxBRRICKkot_KsJYw,bowl,menu,order
20,9ttNPIa5LX225TJdkrvfxw,chicken,rice,crust
21,5NsdznaNSUmH2O0vuo65Pw,service,chicken,service
22,jgFOhwiKlEwZo2divhfADA,coffee,cafe,taste
23,ZQCSPTkrW_hc68o-wL2x-g,order,breakfast,area
24,Q7XrSrWLxdVC86bH_WIBYg,rice,pizza,
25,t-PClzCSkBpYR9S9tNZ0HQ,coffee,service,service
26,jHLrX42I1lEcEg4WMMKP9A,service,drink,service
27,0Lwb1fZghRJgUHJ0U-VBHw,area,service,wine
28,cd76isKkvKpITB51dTg3rQ,salad,coffee,soup
29,jyCwli8cDwQDlFgzAm_cyg,coffee,service,bagel
30,j3SCI4fdxMb980xLD7edpg,breakfast,service,breakfast
31,AFLkrZdA1yihw6J8yuJizQ,chicken,menu,taste
32,cLDd3uVAm56mMHpySvJtmw,coffee,order,order
33,Cn1_83PVFsdXp16qEMiG5g,breakfast,line,line
34,qz-BdxOXAka6uPF6W7ZeRA,beef,rice,beef
35,26qMia7eu6V6Rep8XQbxsA,wine,service,hour
36,A9M9J67qmBuMp6I1Px_4_w,service,order,service
37,Mg9U8HWnyPw-Z6XjtWAjWQ,service,chicken,service
38,eO-Zl3wPFxfZtPQji-7eiw,lunch,coffee,
39,-jYTujqBWxRlyhEiLoq9Nw,beef,service,rice
40,1Xq6dTXEoAZbuyrGgLEktQ,breakfast,service,room
41,wzbOW1qG47ut4les3La0Ag,service,location,service
42,1o1LImsFDoGDogxgYfjIqQ,coffee,staff,coffee
43,E2lz4CRukAMMYIRE2gaoTQ,coffee,latte,coffee
44,Qp1Zne2OVtWr6AYQJywYHg,chicken,cream,
45,RGCT70v8c-k6a0mwItFjGw,coffee,service,coffee
46,x4kl3G0L-nGaDeCD013GnA,coffee,beer,coffee
47,ipj5ewp_aKWl8xYvzLi9-g,breakfast,coffee,breakfast
48,OcRYmpwLwMKk7sLZDZPYfg,service,price,wifi
49,F-wuLRcNY3PmTBHV61VqWw,sandwich,breakfast,
50,nlwL7B1UxW6bDgdFwuoSsQ,coffee,space,service
51,lOdHsuHw797HpuxFZeOaoA,coffee,order,order
52,qS15jCGq_m43eQryNCZmUg,rice,taste,taste
53,ijXamJnJ1oVGKon_K-DYpA,coffee,location,coffee
54,aIa0T3ciTqE8wyRQ5o5Dew,staff,service,price
55,-RStLKSNyENyOK5_kUEPtg,coffee,service,service
56,xEwVqr0h7fYh966oFrDtDg,coffee,tea,flavor
57,QvNVf-XY5IUODQ_QfcxxDw,rice,roll,rice
58,c7V2qyB1qswekkTqGKXpcg,spinach,staff,
59,xyqZo_ASwQlF-6LfPmem0A,coffee,area,
60,goB7wK1XgJFLXJo4Kmx-pw,tea,waffle,waffle
61,lZ9xOCyw0e4PK7pAximc-w,service,order,service
62,7kbcpLvmhB7SFKaiHqmCgQ,cinnamon,sandwich,
63,2sWb42__hsHGBEYNxah2VQ,coffee,latte,
64,NE6mtahqArszrQM7D7JWuA,service,chicken,service
65,bVmFA3NT9E6QXz9lZI7-sQ,tea,drink,tea
66,lxEyx8m57TGtfBaSp0sTMg,space,coffee,coffee
67,I57lAKOF97G8IFW4U2brbw,coffee,service,
68,xSCML31WHdRJz6hxxdy7kA,tea,service,tea
69,TgzcqZG17YYodFZdPTsjGw,breakfast,service,breakfast
70,TsKS13HoV3lu6NMWemqQnw,coffee,breakfast,music
71,nfi_A2PJ1mjFZhXeGv1lUw,service,music,service
72,tCbdrRPZA0oiIYSmHG3J0w,breakfast,coffee,tomato
73,gGelVRfGdtsczxwbspGPxg,service,beer,service
74,NAtEvQZvpOKFTUCCSq2xfw,chicken,cookie,chicken
75,KFG7Pf_Pt-hRSirdwrz-IA,tea,butter,cake
76,aWl9_xUyS9D3EH9ffU47mA,coffee,staff,coffee
77,ad_4nl0B3txULdSS0ovASQ,coffee,wait,
78,0UY6UXEedB2_M7vK6pYISQ,coffee,staff,coffee
79,ilSp_UtrI_Mi1MvwbJtThg,salad,order,order
80,nZ9qpHktjrxXkvSyNT8PDg,tea,cake,bread
81,0iZdSxDtKvhQo8weTmeGQg,drink,menu,menu
82,rjKlm_WgiS1TSeMjWvne9g,chicken,banana,chicken
83,mvxfOpC33thTlzpV_HwDdQ,salad,chicken,area
84,RnWDKV5OOP43X7wlDvyhjg,smoothie,staff,milk
85,padJtIALBpPFalsWES_CZQ,lunch,service,order
86,LWIaZXIuWzxrjmwwROKE0A,wine,music,ambience
87,F0VOisCG8m0kzoymFUSk0Q,coffee,bagel,coffee
88,RoCop_-H4YHp6kn2cNXrJg,breakfast,service,service
89,fsqtrHKBUeucacxeX9FPaA,service,breakfast,service
90,zVbsXdlwtWMoK4FTABY5aw,beer,staff,staff
91,-LRz5_1fAsLOD3znnipYOQ,breakfast,brunch,hour
92,cgrAaI6_VotsK-H7AzFi_w,service,space,soup
93,hBY7mrJHALp6J0Xex7dM-g,park,chicken,park
94,io3HEIZSrMh5RlGqUE4nxQ,coconut,toast,tea
95,RdYZ3h5Q6q_bCvnTjQh59Q,service,barista,
96,s0Sr3WLYDuU9IF-6gv_qPg,area,delivery,delivery
97,QNbgjGvarXlMAchLntONFQ,service,breakfast,order
98,W_ir8uUdiEOZPj9I2H-Qew,location,street,taste
99,DjCdhnURtrLDOuy27dpa0g,service,area,chicken
100,MUgV0s7pKKJ95qlrHG4b9w,pork,service,service
101,TCx3vm9ScV8pyzsVYjRc0w,coffee,staff,matcha
102,BruAH-ErE2dGQbGZDqKxuw,coffee,order,coffee
103,sa0bh9R08jYzNveKjEq6Hg,breakfast,service,breakfast
104,1gdxoCW21a-dkhHKb3PeCA,coffee,chocolate,coffee
105,7ldhMPx4MBqQu_1Yj61T-w,menu,coffee,
106,yg_vRRdzUu3RAtwYc0jAvA,pizza,service,pizza
107,ANVQbZPlcz_hTUVgy5Iqlw,bowl,staff,bowl
108,rm1G9ZlyVD1r6OvUxcXDAQ,bread,coffee,bread
109,cV_YaVZ2yX3Avkl5Mm4MGg,coffee,breakfast,coffee
110,NeRrmKfgM7g9wUC2cnNdIw,bread,donut,bread
111,yytxmEnuBSm6qVLo4rOiOw,breakfast,sandwich,egg
112,2F5L_0MZSPp5egi_yY0-yA,chicken,staff,order
113,pFIaIyt61fQvIDetN2Gltw,lunch,chicken,bread
114,RSX2JzVtRc8sVWST35HoiA,service,dinner,service
115,4dW3-hqBbCdo0Lc6PwKaaQ,coffee,service,coffee
116,5TqFVll66nkQiCT-WOunhg,lunch,coffee,chip
117,wV7m-W_LYa1HDvG0gW0oGQ,breakfast,service,breakfast
118,GBU_WPK52yMTis6KSAjHXg,service,coffee,service
119,iSgAUUgF_RT2NEIXIluv5w,coffee,service,
