Var1,Kind
service,service
staff,service
coffee,food
breakfast,food
lunch,food
location,environment
chicken,food
tea,food
menu,food
latte,food
sandwich,food
chocolate,food
wait,service
price,food
cream,food
taste,food
egg,food
drink,food
quality,food
bread,food
dinner,food
rice,food
toast,food
brunch,food
pork,food
soup,food
beer,food
milk,food
music,environment
family,environment
bacon,food
cake,food
bowl,food
bagel,food
burger,food
flavor,food
beef,food
sauce,food
salad,food
lot,environment
pizza,food
meat,food
meal,food
cheese,food
visit,service
wifi,service
hour,service
atmosphere,environment
avocado,food
waitress,food
matcha,food
fruit,food
wine,food
wrap,food
sit,environment
clean,environment
park,environment
croissant,food
room,environment
smoothie,food
waffle,food
building,environment
delivery,service
panini,food
slice,food
muffin,food
parking,service
taco,food
steak,food
wall,environment
kitchen,environment
wifi,service
benedict,food
wrap,service
park,service
reservation,service
almond,food
honey,food
mushroom,food
bun,food
cookie,food
avocado,food
chef,service
environment,environment
cocktail,food
espresso,food
turkey,food
appetizer,food
vanilla,food
snack,food
omelette,food
chair,environment
strawberry,food
shrimp,food
cooky,food
salmon,food
matcha,food
boba,food
pasta,food
window,environment
crust,food
ham,food
cappuccino,food
omelet,food
cinnamon,food
spinach,food
chai,food
beverage,food
seating,environment
vegan,service
burrito,food
scone,food
bathroom,environment
panini,food
picture,environment
bartender,service
banana,food
barista,service
mocha,food
homemade,food
corn,food
blueberry,food
coconut,food
ambience,environment
jam,food
folk,service
pepper,food
smoothie,food
spice,food
roast,food
coffee,food 
service,service
order,service
breakfast,food 
staff,service
menu,food 
egg,food 
tea,food 
price,food 
sandwich,food 
lot,environment
area,environment
lunch,food 
location,environment
flavor,food 
option,food 
drink,food 
chocolate,food 
chicken,food 
taste,food 
meal,food 
salad,food 
cream,food 
wait,service
quality,food 
bread,food 
latte,food 
table,environment
brunch,food 
line,service
milk,food 
sauce,food 
soup,food 
dessert,food 
space,environment
toast,food 
bacon,food 
potato,food 
biscuit,food 
plate,food 
pizza,food 
cafe,food 
meat,food 
beer,food 
bowl,food 
street,environment
burger,food 
water,food 
cake,food 
pork,food 
pie,food 
rice,food 
room,environment
sit,environment
waitress,service
music,environment
cheese,food 
beef,food 
dish,food 
fruit,food 
waffle,food 
sausage,food 
tomato,food 
chip,food 
fan,environment
pancake,food 
wine,food 
seat,environment
butter,food 
roll,food 
onion,food 
croissant,food 
bagel,food 
donut,food 
juice,food 
